subjects,items,type,ans
33,8,none,0
35,8,none,0
1,9,none,0
2,9,none,0
3,9,none,0
4,9,none,0
6,9,none,0
7,9,none,0
8,9,none,0
9,9,none,0
10,9,none,0
11,9,none,0
12,9,none,0
13,9,none,0
14,9,none,0
15,9,none,0
16,9,none,0
18,9,none,0
19,9,none,0
20,9,none,0
21,9,none,0
22,9,none,0
23,9,none,0
24,9,none,0
25,9,none,0
26,9,none,0
27,9,none,0
28,9,none,0
29,9,none,0
30,9,none,0
31,9,none,0
32,9,none,0
33,9,none,0
35,9,none,0
1,10,none,0
2,10,none,0
3,10,none,0
4,10,none,0
5,10,none,0
6,10,none,0
7,10,none,0
8,10,none,0
9,10,none,0
10,10,none,0
11,10,none,0
12,10,none,0
13,10,none,0
14,10,none,0
15,10,none,0
16,10,none,0
18,10,none,0
19,10,none,0
20,10,none,0
21,10,none,0
22,10,none,0
23,10,none,0
24,10,none,0
25,10,none,0
26,10,none,0
27,10,none,0
28,10,none,0
29,10,none,0
30,10,none,0
31,10,none,0
32,10,none,0
33,10,none,0
34,10,none,0
35,10,none,0
1,11,none,0
2,11,none,0
3,11,none,0
4,11,none,0
6,11,none,0
7,11,none,0
8,11,none,0
9,11,none,0
10,11,none,0
11,11,none,0
12,11,none,0
13,11,none,0
14,11,none,0
15,11,none,0
16,11,none,0
18,11,none,0
19,11,none,0
20,11,none,0
21,11,none,0
22,11,none,0
23,11,none,0
24,11,none,0
25,11,none,0
26,11,none,0
27,11,none,0
28,11,none,0
29,11,none,0
30,11,none,0
31,11,none,0
32,11,none,0
33,11,none,0
34,11,none,0
35,11,none,0
1,12,none,0
2,12,none,0
3,12,none,0
4,12,none,0
6,12,none,0
7,12,none,0
8,12,none,0
9,12,none,0
10,12,none,0
11,12,none,0
13,12,none,0
14,12,none,0
15,12,none,0
16,12,none,0
18,12,none,0
19,12,none,0
20,12,none,0
21,12,none,0
22,12,none,0
23,12,none,0
24,12,none,0
25,12,none,0
26,12,none,0
27,12,none,0
28,12,none,0
29,12,none,0
30,12,none,0
31,12,none,0
32,12,none,0
33,12,none,0
35,12,none,0
1,13,none,0
2,13,none,0
3,13,none,0
4,13,none,0
6,13,none,0
7,13,none,0
8,13,none,0
9,13,none,0
10,13,none,0
11,13,none,0
12,13,none,0
13,13,none,0
14,13,none,0
15,13,none,0
16,13,none,0
18,13,none,0
19,13,none,0
20,13,none,0
21,13,none,0
22,13,none,0
23,13,none,0
24,13,none,0
26,13,none,0
27,13,none,0
28,13,none,0
29,13,none,0
30,13,none,0
31,13,none,0
32,13,none,0
33,13,none,0
34,13,none,0
35,13,none,0
1,14,none,0
2,14,none,0
3,14,none,0
4,14,none,0
5,14,none,0
6,14,none,0
7,14,none,0
8,14,none,0
9,14,none,0
10,14,none,0
11,14,none,0
12,14,none,0
13,14,none,0
14,14,none,0
15,14,none,0
16,14,none,0
18,14,none,0
19,14,none,0
20,14,none,0
21,14,none,0
22,14,none,0
23,14,none,0
24,14,none,0
25,14,none,0
26,14,none,0
27,14,none,0
28,14,none,0
29,14,none,0
30,14,none,0
31,14,none,0
32,14,none,0
33,14,none,0
34,14,none,0
35,14,none,0
1,15,none,0
2,15,none,0
3,15,none,0
4,15,none,0
6,15,none,0
7,15,none,0
8,15,none,0
9,15,none,0
11,15,none,0
12,15,none,0
13,15,none,0
14,15,none,0
15,15,none,0
18,15,none,0
19,15,none,0
20,15,none,0
21,15,none,0
22,15,none,0
23,15,none,0
24,15,none,0
25,15,none,0
26,15,none,0
27,15,none,0
28,15,none,0
29,15,none,0
30,15,none,0
31,15,none,0
32,15,none,0
33,15,none,0
35,15,none,0
1,16,none,0
2,16,none,0
3,16,none,0
4,16,none,0
6,16,none,0
7,16,none,0
8,16,none,0
9,16,none,0
10,16,none,0
11,16,none,0
12,16,none,0
13,16,none,0
14,16,none,0
15,16,none,0
16,16,none,0
18,16,none,0
19,16,none,0
20,16,none,0
22,16,none,0
23,16,none,0
24,16,none,0
25,16,none,0
26,16,none,0
27,16,none,0
28,16,none,0
29,16,none,0
30,16,none,0
31,16,none,0
32,16,none,0
33,16,none,0
35,16,none,0
1,17,none,0
2,17,none,0
4,17,none,0
6,17,none,0
7,17,none,0
8,17,none,0
9,17,none,0
10,17,none,0
11,17,none,0
12,17,none,0
13,17,none,0
14,17,none,0
15,17,none,0
16,17,none,0
18,17,none,0
19,17,none,0
20,17,none,0
22,17,none,0
23,17,none,0
24,17,none,0
25,17,none,0
26,17,none,0
27,17,none,0
28,17,none,0
29,17,none,0
30,17,none,0
31,17,none,0
32,17,none,0
33,17,none,0
35,17,none,0
1,18,none,0
2,18,none,0
4,18,none,0
5,18,none,0
6,18,none,0
7,18,none,0
8,18,none,0
9,18,none,0
10,18,none,0
11,18,none,0
12,18,none,0
13,18,none,0
14,18,none,0
15,18,none,0
16,18,none,0
18,18,none,0
19,18,none,0
20,18,none,0
21,18,none,0
22,18,none,0
23,18,none,0
24,18,none,0
25,18,none,0
26,18,none,0
27,18,none,0
28,18,none,0
29,18,none,0
30,18,none,0
31,18,none,0
32,18,none,0
33,18,none,0
34,18,none,0
35,18,none,0
1,19,none,0
2,19,none,0
3,19,none,0
4,19,none,0
6,19,none,0
7,19,none,0
8,19,none,0
9,19,none,0
10,19,none,0
11,19,none,0
12,19,none,0
13,19,none,0
14,19,none,0
15,19,none,0
18,19,none,0
19,19,none,0
21,19,none,0
22,19,none,0
23,19,none,0
24,19,none,0
25,19,none,0
26,19,none,0
27,19,none,0
28,19,none,0
29,19,none,0
30,19,none,0
31,19,none,0
32,19,none,0
33,19,none,0
34,19,none,0
35,19,none,0
1,20,none,0
2,20,none,0
3,20,none,0
4,20,none,0
6,20,none,0
7,20,none,0
8,20,none,0
9,20,none,0
10,20,none,0
11,20,none,0
12,20,none,0
13,20,none,0
14,20,none,0
15,20,none,0
16,20,none,0
18,20,none,0
19,20,none,0
20,20,none,0
21,20,none,0
22,20,none,0
23,20,none,0
24,20,none,0
25,20,none,0
26,20,none,0
27,20,none,0
28,20,none,0
29,20,none,0
30,20,none,0
31,20,none,0
32,20,none,0
33,20,none,0
30,21,weak,0
13,21,weak,0
21,21,weak,0
21,22,weak,0
19,22,weak,0
13,22,weak,0
30,22,weak,0
1,22,weak,0
2,22,weak,0
3,22,weak,0
5,22,weak,0
6,22,weak,0
7,22,weak,0
10,22,weak,0
16,22,weak,0
20,22,weak,0
22,22,weak,0
23,22,weak,0
28,22,weak,0
29,22,weak,0
12,23,weak,0
14,23,weak,0
15,23,weak,0
1,23,weak,0
5,23,weak,0
9,23,weak,0
16,23,weak,0
20,23,weak,0
26,23,weak,0
29,23,weak,0
7,24,weak,0
13,24,weak,0
26,25,weak,0
16,25,weak,0
6,26,weak,0
1,27,weak,0
2,27,weak,0
3,27,weak,0
5,27,weak,0
26,28,weak,0
7,28,weak,0
1,29,weak,0
29,29,weak,0
28,29,weak,0
30,29,weak,0
19,29,weak,0
2,29,weak,0
3,29,weak,0
4,29,weak,0
6,29,weak,0
7,29,weak,0
8,29,weak,0
9,29,weak,0
10,29,weak,0
13,29,weak,0
15,29,weak,0
16,29,weak,0
18,29,weak,0
22,29,weak,0
32,29,weak,0
26,30,weak,0
32,30,weak,0
21,30,weak,0
23,30,weak,0
7,30,weak,0
29,30,weak,0
30,30,weak,0
2,30,weak,0
3,30,weak,0
4,30,weak,0
5,30,weak,0
6,30,weak,0
8,30,weak,0
9,30,weak,0
10,30,weak,0
16,30,weak,0
34,30,weak,0
19,31,weak,0
26,31,weak,0
29,31,weak,0
8,31,weak,0
20,31,weak,0
5,31,weak,0
23,31,weak,0
7,31,weak,0
11,31,weak,0
18,31,weak,0
28,31,weak,0
35,31,weak,0
1,31,weak,0
2,31,weak,0
3,31,weak,0
6,31,weak,0
9,31,weak,0
13,31,weak,0
15,31,weak,0
16,31,weak,0
22,31,weak,0
33,31,weak,0
31,31,weak,0
14,32,weak,0
26,32,weak,0
20,32,weak,0
2,32,weak,0
3,32,weak,0
15,32,weak,0
29,32,weak,0
8,33,weak,0
22,33,weak,0
7,33,weak,0
10,33,weak,0
12,33,weak,0
18,33,weak,0
11,33,weak,0
20,33,weak,0
28,33,weak,0
33,33,weak,0
2,33,weak,0
3,33,weak,0
4,33,weak,0
6,33,weak,0
9,33,weak,0
15,33,weak,0
16,33,weak,0
19,33,weak,0
23,34,weak,0
13,34,weak,0
25,34,weak,0
2,34,weak,0
10,34,weak,0
16,34,weak,0
19,34,weak,0
22,34,weak,0
27,34,weak,0
29,34,weak,0
33,34,weak,0
31,34,weak,0
1,35,weak,0
11,35,weak,0
13,35,weak,0
14,35,weak,0
29,35,weak,0
22,35,weak,0
7,35,weak,0
10,35,weak,0
2,35,weak,0
3,35,weak,0
4,35,weak,0
5,35,weak,0
6,35,weak,0
9,35,weak,0
15,35,weak,0
16,35,weak,0
18,35,weak,0
19,35,weak,0
21,35,weak,0
24,35,weak,0
28,35,weak,0
33,35,weak,0
27,35,weak,0
20,36,weak,0
28,36,weak,0
6,37,weak,0
14,37,weak,0
26,37,weak,0
23,37,weak,0
2,37,weak,0
3,37,weak,0
4,37,weak,0
7,37,weak,0
34,37,weak,0
19,37,weak,0
12,38,weak,0
19,38,weak,0
25,38,weak,0
13,38,weak,0
14,38,weak,0
30,38,weak,0
1,38,weak,0
8,38,weak,0
9,38,weak,0
5,38,weak,0
7,38,weak,0
20,38,weak,0
10,38,weak,0
33,38,weak,0
35,38,weak,0
21,38,weak,0
3,38,weak,0
4,38,weak,0
6,38,weak,0
11,38,weak,0
15,38,weak,0
16,38,weak,0
18,38,weak,0
22,38,weak,0
27,38,weak,0
28,38,weak,0
29,38,weak,0
34,38,weak,0
23,38,weak,0
31,38,weak,0
29,39,weak,0
19,39,weak,0
31,39,weak,0
14,39,weak,0
25,39,weak,0
2,39,weak,0
3,39,weak,0
4,39,weak,0
5,39,weak,0
6,39,weak,0
11,39,weak,0
13,39,weak,0
15,39,weak,0
16,39,weak,0
21,39,weak,0
22,39,weak,0
1,40,weak,0
27,40,weak,0
3,40,weak,0
12,41,strong,0
28,42,strong,0
5,43,strong,0
8,43,strong,0
12,44,strong,0
26,44,strong,0
14,44,strong,0
21,44,strong,0
5,44,strong,0
8,44,strong,0
2,45,strong,0
5,45,strong,0
12,45,strong,0
13,45,strong,0
18,45,strong,0
30,45,strong,0
21,45,strong,0
7,46,strong,0
13,46,strong,0
16,47,strong,0
14,47,strong,0
7,48,strong,0
16,48,strong,0
12,49,strong,0
5,49,strong,0
25,50,strong,0
11,50,strong,0
26,50,strong,0
3,50,strong,0
1,50,strong,0
2,50,strong,0
7,50,strong,0
8,50,strong,0
12,50,strong,0
15,50,strong,0
19,50,strong,0
20,50,strong,0
22,50,strong,0
28,50,strong,0
33,50,strong,0
34,50,strong,0
35,50,strong,0
23,50,strong,0
30,50,strong,0
9,50,strong,0
2,51,strong,0
21,52,strong,0
5,52,strong,0
27,52,strong,0
8,52,strong,0
24,52,strong,0
3,52,strong,0
34,52,strong,0
1,52,strong,0
2,52,strong,0
9,52,strong,0
12,52,strong,0
32,52,strong,0
23,52,strong,0
4,52,strong,0
6,52,strong,0
7,52,strong,0
10,52,strong,0
11,52,strong,0
13,52,strong,0
14,52,strong,0
16,52,strong,0
19,52,strong,0
20,52,strong,0
22,52,strong,0
31,52,strong,0
33,52,strong,0
35,52,strong,0
18,52,strong,0
28,52,strong,0
15,52,strong,0
12,55,strong,0
16,55,strong,0
22,55,strong,0
5,56,strong,0
12,57,strong,0
21,59,strong,0
5,1,none,1
14,1,none,1
16,1,none,1
21,1,none,1
34,1,none,1
5,2,none,1
14,2,none,1
34,2,none,1
25,3,none,1
34,3,none,1
5,4,none,1
12,4,none,1
21,4,none,1
34,5,none,1
5,7,none,1
34,7,none,1
5,8,none,1
23,8,none,1
34,8,none,1
5,9,none,1
34,9,none,1
5,11,none,1
5,12,none,1
12,12,none,1
34,12,none,1
5,13,none,1
25,13,none,1
5,15,none,1
10,15,none,1
16,15,none,1
34,15,none,1
5,16,none,1
21,16,none,1
34,16,none,1
3,17,none,1
5,17,none,1
21,17,none,1
34,17,none,1
3,18,none,1
5,19,none,1
16,19,none,1
20,19,none,1
5,20,none,1
34,20,none,1
35,20,none,1
26,21,weak,1
32,21,weak,1
20,21,weak,1
27,21,weak,1
25,21,weak,1
1,21,weak,1
3,21,weak,1
4,21,weak,1
5,21,weak,1
6,21,weak,1
9,21,weak,1
11,21,weak,1
12,21,weak,1
14,21,weak,1
16,21,weak,1
22,21,weak,1
28,21,weak,1
29,21,weak,1
31,21,weak,1
33,21,weak,1
34,21,weak,1
2,21,weak,1
23,21,weak,1
35,21,weak,1
8,21,weak,1
10,21,weak,1
15,21,weak,1
18,21,weak,1
19,21,weak,1
24,21,weak,1
7,21,weak,1
32,22,weak,1
14,22,weak,1
26,22,weak,1
25,22,weak,1
35,22,weak,1
4,22,weak,1
8,22,weak,1
9,22,weak,1
11,22,weak,1
15,22,weak,1
18,22,weak,1
24,22,weak,1
27,22,weak,1
31,22,weak,1
33,22,weak,1
34,22,weak,1
12,22,weak,1
30,23,weak,1
2,23,weak,1
3,23,weak,1
4,23,weak,1
6,23,weak,1
7,23,weak,1
8,23,weak,1
10,23,weak,1
11,23,weak,1
13,23,weak,1
18,23,weak,1
19,23,weak,1
21,23,weak,1
22,23,weak,1
23,23,weak,1
24,23,weak,1
25,23,weak,1
28,23,weak,1
31,23,weak,1
32,23,weak,1
33,23,weak,1
34,23,weak,1
35,23,weak,1
27,23,weak,1
1,24,weak,1
29,24,weak,1
26,24,weak,1
12,24,weak,1
21,24,weak,1
16,24,weak,1
25,24,weak,1
30,24,weak,1
14,24,weak,1
2,24,weak,1
18,24,weak,1
35,24,weak,1
32,24,weak,1
3,24,weak,1
4,24,weak,1
5,24,weak,1
6,24,weak,1
8,24,weak,1
9,24,weak,1
10,24,weak,1
11,24,weak,1
15,24,weak,1
19,24,weak,1
20,24,weak,1
22,24,weak,1
23,24,weak,1
24,24,weak,1
28,24,weak,1
33,24,weak,1
34,24,weak,1
27,24,weak,1
31,24,weak,1
32,25,weak,1
21,25,weak,1
25,25,weak,1
20,25,weak,1
24,25,weak,1
5,25,weak,1
12,25,weak,1
35,25,weak,1
1,25,weak,1
2,25,weak,1
3,25,weak,1
4,25,weak,1
6,25,weak,1
7,25,weak,1
8,25,weak,1
9,25,weak,1
10,25,weak,1
11,25,weak,1
15,25,weak,1
18,25,weak,1
19,25,weak,1
23,25,weak,1
27,25,weak,1
28,25,weak,1
29,25,weak,1
30,25,weak,1
33,25,weak,1
34,25,weak,1
13,25,weak,1
22,25,weak,1
14,25,weak,1
31,25,weak,1
1,26,weak,1
2,26,weak,1
4,26,weak,1
9,26,weak,1
10,26,weak,1
11,26,weak,1
12,26,weak,1
13,26,weak,1
14,26,weak,1
16,26,weak,1
18,26,weak,1
19,26,weak,1
22,26,weak,1
25,26,weak,1
26,26,weak,1
27,26,weak,1
28,26,weak,1
29,26,weak,1
30,26,weak,1
31,26,weak,1
33,26,weak,1
34,26,weak,1
35,26,weak,1
23,26,weak,1
3,26,weak,1
5,26,weak,1
7,26,weak,1
8,26,weak,1
15,26,weak,1
20,26,weak,1
21,26,weak,1
24,26,weak,1
32,26,weak,1
12,27,weak,1
26,27,weak,1
29,27,weak,1
32,27,weak,1
25,27,weak,1
4,27,weak,1
7,27,weak,1
10,27,weak,1
23,27,weak,1
27,27,weak,1
34,27,weak,1
20,27,weak,1
21,27,weak,1
35,27,weak,1
18,27,weak,1
6,27,weak,1
8,27,weak,1
9,27,weak,1
11,27,weak,1
13,27,weak,1
14,27,weak,1
15,27,weak,1
16,27,weak,1
19,27,weak,1
22,27,weak,1
24,27,weak,1
28,27,weak,1
30,27,weak,1
31,27,weak,1
33,27,weak,1
31,28,weak,1
1,28,weak,1
29,28,weak,1
21,28,weak,1
25,28,weak,1
2,28,weak,1
3,28,weak,1
4,28,weak,1
5,28,weak,1
6,28,weak,1
8,28,weak,1
9,28,weak,1
10,28,weak,1
11,28,weak,1
12,28,weak,1
13,28,weak,1
14,28,weak,1
16,28,weak,1
18,28,weak,1
19,28,weak,1
20,28,weak,1
23,28,weak,1
27,28,weak,1
28,28,weak,1
30,28,weak,1
32,28,weak,1
33,28,weak,1
34,28,weak,1
35,28,weak,1
24,28,weak,1
15,28,weak,1
22,28,weak,1
31,29,weak,1
26,29,weak,1
11,29,weak,1
12,29,weak,1
21,29,weak,1
5,29,weak,1
35,29,weak,1
33,29,weak,1
20,29,weak,1
24,29,weak,1
14,29,weak,1
27,29,weak,1
34,29,weak,1
25,29,weak,1
23,29,weak,1
31,30,weak,1
12,30,weak,1
11,30,weak,1
1,30,weak,1
27,30,weak,1
20,30,weak,1
28,30,weak,1
33,30,weak,1
19,30,weak,1
35,30,weak,1
14,30,weak,1
25,30,weak,1
15,30,weak,1
22,30,weak,1
13,30,weak,1
18,30,weak,1
24,30,weak,1
12,31,weak,1
30,31,weak,1
10,31,weak,1
21,31,weak,1
34,31,weak,1
25,31,weak,1
27,31,weak,1
24,31,weak,1
4,31,weak,1
32,31,weak,1
14,31,weak,1
1,32,weak,1
31,32,weak,1
5,32,weak,1
21,32,weak,1
8,32,weak,1
10,32,weak,1
18,32,weak,1
27,32,weak,1
28,32,weak,1
35,32,weak,1
4,32,weak,1
6,32,weak,1
7,32,weak,1
9,32,weak,1
11,32,weak,1
12,32,weak,1
13,32,weak,1
16,32,weak,1
22,32,weak,1
24,32,weak,1
30,32,weak,1
32,32,weak,1
33,32,weak,1
34,32,weak,1
25,32,weak,1
19,32,weak,1
23,32,weak,1
1,33,weak,1
13,33,weak,1
26,33,weak,1
29,33,weak,1
31,33,weak,1
14,33,weak,1
25,33,weak,1
32,33,weak,1
21,33,weak,1
27,33,weak,1
35,33,weak,1
23,33,weak,1
30,33,weak,1
24,33,weak,1
34,33,weak,1
5,33,weak,1
26,34,weak,1
32,34,weak,1
21,34,weak,1
1,34,weak,1
5,34,weak,1
7,34,weak,1
8,34,weak,1
9,34,weak,1
12,34,weak,1
28,34,weak,1
20,34,weak,1
24,34,weak,1
18,34,weak,1
35,34,weak,1
4,34,weak,1
11,34,weak,1
3,34,weak,1
6,34,weak,1
14,34,weak,1
15,34,weak,1
30,34,weak,1
34,34,weak,1
26,35,weak,1
30,35,weak,1
31,35,weak,1
12,35,weak,1
32,35,weak,1
20,35,weak,1
35,35,weak,1
8,35,weak,1
23,35,weak,1
25,35,weak,1
34,35,weak,1
1,36,weak,1
31,36,weak,1
29,36,weak,1
12,36,weak,1
21,36,weak,1
2,36,weak,1
4,36,weak,1
7,36,weak,1
10,36,weak,1
11,36,weak,1
13,36,weak,1
14,36,weak,1
16,36,weak,1
19,36,weak,1
22,36,weak,1
23,36,weak,1
26,36,weak,1
27,36,weak,1
30,36,weak,1
32,36,weak,1
34,36,weak,1
35,36,weak,1
3,36,weak,1
5,36,weak,1
6,36,weak,1
8,36,weak,1
9,36,weak,1
15,36,weak,1
18,36,weak,1
24,36,weak,1
33,36,weak,1
25,36,weak,1
16,37,weak,1
32,37,weak,1
25,37,weak,1
13,37,weak,1
1,37,weak,1
8,37,weak,1
29,37,weak,1
12,37,weak,1
27,37,weak,1
5,37,weak,1
10,37,weak,1
11,37,weak,1
20,37,weak,1
28,37,weak,1
31,37,weak,1
33,37,weak,1
35,37,weak,1
30,37,weak,1
18,37,weak,1
22,37,weak,1
9,37,weak,1
24,37,weak,1
21,37,weak,1
15,37,weak,1
26,38,weak,1
32,38,weak,1
2,38,weak,1
24,38,weak,1
26,39,weak,1
7,39,weak,1
12,39,weak,1
18,39,weak,1
10,39,weak,1
27,39,weak,1
20,39,weak,1
33,39,weak,1
1,39,weak,1
28,39,weak,1
30,39,weak,1
35,39,weak,1
8,39,weak,1
9,39,weak,1
24,39,weak,1
34,39,weak,1
32,39,weak,1
23,39,weak,1
26,40,weak,1
30,40,weak,1
32,40,weak,1
29,40,weak,1
23,40,weak,1
21,40,weak,1
7,40,weak,1
4,40,weak,1
8,40,weak,1
9,40,weak,1
10,40,weak,1
11,40,weak,1
12,40,weak,1
13,40,weak,1
14,40,weak,1
15,40,weak,1
16,40,weak,1
19,40,weak,1
20,40,weak,1
22,40,weak,1
25,40,weak,1
28,40,weak,1
31,40,weak,1
33,40,weak,1
34,40,weak,1
35,40,weak,1
2,40,weak,1
18,40,weak,1
5,40,weak,1
6,40,weak,1
24,40,weak,1
1,41,strong,1
26,41,strong,1
29,41,strong,1
30,41,strong,1
16,41,strong,1
22,41,strong,1
27,41,strong,1
32,41,strong,1
21,41,strong,1
2,41,strong,1
3,41,strong,1
4,41,strong,1
5,41,strong,1
6,41,strong,1
7,41,strong,1
8,41,strong,1
9,41,strong,1
10,41,strong,1
11,41,strong,1
13,41,strong,1
14,41,strong,1
15,41,strong,1
18,41,strong,1
19,41,strong,1
20,41,strong,1
24,41,strong,1
28,41,strong,1
31,41,strong,1
33,41,strong,1
34,41,strong,1
35,41,strong,1
25,41,strong,1
23,41,strong,1
32,42,strong,1
26,42,strong,1
11,42,strong,1
13,42,strong,1
20,42,strong,1
29,42,strong,1
16,42,strong,1
31,42,strong,1
25,42,strong,1
7,42,strong,1
15,42,strong,1
21,42,strong,1
10,42,strong,1
18,42,strong,1
5,42,strong,1
23,42,strong,1
34,42,strong,1
19,42,strong,1
12,42,strong,1
22,42,strong,1
14,42,strong,1
24,42,strong,1
9,42,strong,1
3,42,strong,1
6,42,strong,1
33,42,strong,1
27,42,strong,1
1,42,strong,1
2,42,strong,1
4,42,strong,1
35,42,strong,1
8,42,strong,1
30,42,strong,1
12,43,strong,1
25,43,strong,1
26,43,strong,1
32,43,strong,1
21,43,strong,1
13,43,strong,1
27,43,strong,1
20,43,strong,1
10,43,strong,1
23,43,strong,1
6,43,strong,1
11,43,strong,1
16,43,strong,1
31,43,strong,1
33,43,strong,1
34,43,strong,1
1,43,strong,1
2,43,strong,1
3,43,strong,1
4,43,strong,1
7,43,strong,1
9,43,strong,1
14,43,strong,1
15,43,strong,1
18,43,strong,1
19,43,strong,1
24,43,strong,1
28,43,strong,1
29,43,strong,1
30,43,strong,1
35,43,strong,1
22,43,strong,1
29,44,strong,1
1,44,strong,1
32,44,strong,1
30,44,strong,1
18,44,strong,1
10,44,strong,1
2,44,strong,1
22,44,strong,1
23,44,strong,1
15,44,strong,1
19,44,strong,1
20,44,strong,1
3,44,strong,1
4,44,strong,1
7,44,strong,1
9,44,strong,1
11,44,strong,1
13,44,strong,1
28,44,strong,1
34,44,strong,1
35,44,strong,1
25,44,strong,1
6,44,strong,1
16,44,strong,1
24,44,strong,1
31,44,strong,1
27,44,strong,1
33,44,strong,1
6,45,strong,1
29,45,strong,1
31,45,strong,1
23,45,strong,1
3,45,strong,1
10,45,strong,1
26,45,strong,1
27,45,strong,1
25,45,strong,1
15,45,strong,1
35,45,strong,1
22,45,strong,1
1,45,strong,1
4,45,strong,1
8,45,strong,1
14,45,strong,1
16,45,strong,1
20,45,strong,1
24,45,strong,1
28,45,strong,1
32,45,strong,1
33,45,strong,1
34,45,strong,1
11,45,strong,1
7,45,strong,1
19,45,strong,1
9,45,strong,1
21,46,strong,1
12,46,strong,1
26,46,strong,1
32,46,strong,1
1,46,strong,1
29,46,strong,1
25,46,strong,1
10,46,strong,1
16,46,strong,1
23,46,strong,1
3,46,strong,1
18,46,strong,1
5,46,strong,1
14,46,strong,1
11,46,strong,1
8,46,strong,1
2,46,strong,1
19,46,strong,1
28,46,strong,1
31,46,strong,1
6,46,strong,1
9,46,strong,1
20,46,strong,1
22,46,strong,1
30,46,strong,1
27,46,strong,1
4,46,strong,1
15,46,strong,1
24,46,strong,1
33,46,strong,1
34,46,strong,1
35,46,strong,1
25,47,strong,1
