Stimulus,Participant,condition,semantic,RT
ma-ma.03.rtf,P07,ma-ma,1,361.2
ma-ma.03.rtf,P08,ma-ma,1,997.7
ma-ma.03.rtf,P09,ma-ma,1,361.7
ma-ma.03.rtf,P21,ma-ma,1,445.1
ma-ma.03.rtf,P25,ma-ma,1,790.6
ma-ma.03.rtf,P27,ma-ma,1,787.4
ma-ma.03.rtf,P29,ma-ma,1,948.6
ma-ma.03.rtf,P31,ma-ma,1,484
ma-ma.03.rtf,P33,ma-ma,1,537.8
ma-ma.03.rtf,P35,ma-ma,1,674.8
ma-ma.03.rtf,P37,ma-ma,1,575.8
ma-ma.03.rtf,P10,ma-ma,1,200.6
ma-ma.03.rtf,P12,ma-ma,1,1061.5
ma-ma.03.rtf,P13,ma-ma,1,542.9
ma-ma.03.rtf,P16,ma-ma,1,435.2
ma-ma.03.rtf,P17,ma-ma,1,166.3
ma-ma.03.rtf,P18,ma-ma,1,660.2
ma-ma.03.rtf,P20,ma-ma,1,880.3
ma-ma.03.rtf,P22,ma-ma,1,377.6
ma-ma.03.rtf,P24,ma-ma,1,840.7
ma-ma.03.rtf,P26,ma-ma,1,1047.1
ma-ma.03.rtf,P28,ma-ma,1,1135
ma-ma.03.rtf,P30,ma-ma,1,313
ma-ma.03.rtf,P34,ma-ma,1,210.3
ma-ma.04.rtf,P01,ma-ma,1,1037
ma-ma.04.rtf,P02,ma-ma,1,1144.4
ma-ma.04.rtf,P03,ma-ma,1,875.8
ma-ma.04.rtf,P04,ma-ma,1,572.2
ma-ma.04.rtf,P05,ma-ma,1,219.9
ma-ma.04.rtf,P07,ma-ma,1,166.2
ma-ma.04.rtf,P08,ma-ma,1,347.5
ma-ma.04.rtf,P09,ma-ma,1,464.5
ma-ma.04.rtf,P21,ma-ma,1,919.7
ma-ma.04.rtf,P23,ma-ma,1,1047
ma-ma.04.rtf,P25,ma-ma,1,271.8
ma-ma.04.rtf,P27,ma-ma,1,127.2
ma-ma.04.rtf,P29,ma-ma,1,557.4
ma-ma.04.rtf,P31,ma-ma,1,542.8
ma-ma.04.rtf,P33,ma-ma,1,396.1
ma-ma.04.rtf,P35,ma-ma,1,440.2
ma-ma.04.rtf,P37,ma-ma,1,797.3
ma-ma.04.rtf,P10,ma-ma,1,225
ma-ma.04.rtf,P11,ma-ma,1,909.7
ma-ma.04.rtf,P12,ma-ma,1,533.3
ma-ma.04.rtf,P13,ma-ma,1,816.8
ma-ma.04.rtf,P14,ma-ma,1,1021.9
ma-ma.04.rtf,P15,ma-ma,1,1139.3
ma-ma.04.rtf,P17,ma-ma,1,523.3
ma-ma.04.rtf,P18,ma-ma,1,278.6
ma-ma.04.rtf,P20,ma-ma,1,464.8
ma-ma.04.rtf,P22,ma-ma,1,246.5
ma-ma.04.rtf,P24,ma-ma,1,795.3
ma-ma.04.rtf,P26,ma-ma,1,684.7
ma-ma.04.rtf,P28,ma-ma,1,753.2
ma-ma.04.rtf,P30,ma-ma,1,601.4
ma-ma.04.rtf,P32,ma-ma,1,1125
ma-ma.04.rtf,P34,ma-ma,1,166.3
ma-ma.04.rtf,P36,ma-ma,1,361.6
ma-ma.05.rtf,P01,ma-ma,1,463.1
ma-ma.05.rtf,P03,ma-ma,1,117.5
ma-ma.05.rtf,P05,ma-ma,1,454
ma-ma.05.rtf,P07,ma-ma,1,505.7
ma-ma.05.rtf,P09,ma-ma,1,850.7
ma-ma.05.rtf,P19,ma-ma,1,669.9
ma-ma.05.rtf,P21,ma-ma,1,894.4
ma-ma.03.rtf,P36,ma-ma,1,0
ma-ma.05.rtf,P25,ma-ma,1,926.1
ma-ma.05.rtf,P31,ma-ma,1,1134.4
ma-ma.05.rtf,P33,ma-ma,1,562.3
ma-ma.05.rtf,P35,ma-ma,1,596.4
ma-ma.05.rtf,P37,ma-ma,1,734.2
ma-ma.05.rtf,P10,ma-ma,1,425.7
ma-ma.05.rtf,P11,ma-ma,1,943.7
ma-ma.05.rtf,P13,ma-ma,1,405.9
ma-ma.05.rtf,P15,ma-ma,1,880.1
ma-ma.05.rtf,P16,ma-ma,1,274
ma-ma.05.rtf,P17,ma-ma,1,132
ma-ma.05.rtf,P18,ma-ma,1,743.3
ma-ma.05.rtf,P20,ma-ma,1,938.8
ma-ma.05.rtf,P22,ma-ma,1,709.9
ma-ma.05.rtf,P24,ma-ma,1,891
ma-ma.05.rtf,P28,ma-ma,1,973.1
ma-ma.05.rtf,P30,ma-ma,1,1191.6
ma-ma.04.rtf,P16,ma-ma,1,0
ma-ma.05.rtf,P04,ma-ma,1,0
ma-ma.05.rtf,P34,ma-ma,1,381.4
ma-ma.05.rtf,P36,ma-ma,1,489
ma-ma.06.rtf,P01,ma-ma,1,926.5
ma-ma.06.rtf,P02,ma-ma,1,494
ma-ma.06.rtf,P04,ma-ma,1,244.5
ma-ma.06.rtf,P07,ma-ma,1,773.2
ma-ma.06.rtf,P08,ma-ma,1,567.4
ma-ma.06.rtf,P09,ma-ma,1,1172.8
ma-ma.06.rtf,P19,ma-ma,1,739.4
ma-ma.06.rtf,P21,ma-ma,1,1144.3
ma-ma.06.rtf,P23,ma-ma,1,906.4
ma-ma.06.rtf,P27,ma-ma,1,875.2
ma-ma.06.rtf,P33,ma-ma,1,381.5
ma-ma.06.rtf,P35,ma-ma,1,1085.5
ma-ma.06.rtf,P37,ma-ma,1,718.9
ma-ma.06.rtf,P10,ma-ma,1,181
ma-ma.06.rtf,P11,ma-ma,1,430.4
ma-ma.06.rtf,P12,ma-ma,1,1075.7
ma-ma.06.rtf,P13,ma-ma,1,728.7
ma-ma.06.rtf,P16,ma-ma,1,356.8
ma-ma.06.rtf,P17,ma-ma,1,381.2
ma-ma.06.rtf,P18,ma-ma,1,347.4
ma-ma.06.rtf,P20,ma-ma,1,690.3
ma-ma.06.rtf,P22,ma-ma,1,568.8
ma-ma.06.rtf,P24,ma-ma,1,675.2
ma-ma.06.rtf,P03,ma-ma,1,63.6
ma-ma.06.rtf,P26,ma-ma,1,584.1
ma-ma.06.rtf,P28,ma-ma,1,860.9
ma-ma.06.rtf,P30,ma-ma,1,913.9
ma-ma.06.rtf,P32,ma-ma,1,777.6
ma-ma.06.rtf,P34,ma-ma,1,196.3
ma-ma.07.rtf,P01,ma-ma,1,1040.9
ma-ma.07.rtf,P02,ma-ma,1,327.7
ma-ma.07.rtf,P03,ma-ma,1,453.8
ma-ma.07.rtf,P05,ma-ma,1,151.6
ma-ma.07.rtf,P06,ma-ma,1,949.7
ma-ma.07.rtf,P07,ma-ma,1,733.9
ma-ma.07.rtf,P08,ma-ma,1,161.4
ma-ma.07.rtf,P09,ma-ma,1,176.1
ma-ma.07.rtf,P19,ma-ma,1,430.4
ma-ma.07.rtf,P21,ma-ma,1,982.5
ma-ma.07.rtf,P23,ma-ma,1,574
ma-ma.07.rtf,P25,ma-ma,1,427.8
ma-ma.07.rtf,P27,ma-ma,1,274.2
ma-ma.07.rtf,P29,ma-ma,1,635.9
ma-ma.07.rtf,P31,ma-ma,1,200.4
ma-ma.07.rtf,P33,ma-ma,1,137
ma-ma.07.rtf,P35,ma-ma,1,229.9
ma-ma.07.rtf,P37,ma-ma,1,924.4
ma-ma.07.rtf,P10,ma-ma,1,875.6
ma-ma.06.rtf,P36,ma-ma,1,78.4
ma-ma.07.rtf,P11,ma-ma,1,484.2
ma-ma.07.rtf,P12,ma-ma,1,880.2
ma-ma.07.rtf,P13,ma-ma,1,841.2
ma-ma.07.rtf,P04,ma-ma,1,63.6
ma-ma.07.rtf,P14,ma-ma,1,1075.7
ma-ma.07.rtf,P16,ma-ma,1,322.7
ma-ma.07.rtf,P17,ma-ma,1,308.1
ma-ma.07.rtf,P18,ma-ma,1,566.9
ma-ma.07.rtf,P24,ma-ma,1,805.4
ma-ma.08.rtf,P04,ma-ma,1,0
ma-ma.07.rtf,P26,ma-ma,1,906.6
ma-ma.07.rtf,P28,ma-ma,1,733.6
ma-ma.07.rtf,P30,ma-ma,1,806.8
ma-ma.07.rtf,P34,ma-ma,1,176
ma-ma.07.rtf,P36,ma-ma,1,450
ma-ma.08.rtf,P01,ma-ma,1,755.9
ma-ma.08.rtf,P07,ma-ma,1,0
ma-ma.08.rtf,P02,ma-ma,1,581.9
ma-ma.08.rtf,P13,ma-ma,1,73.3
ma-ma.08.rtf,P03,ma-ma,1,249.5
ma-ma.08.rtf,P05,ma-ma,1,210.1
ma-ma.08.rtf,P09,ma-ma,1,249.5
ma-ma.08.rtf,P19,ma-ma,1,342.4
ma-ma.08.rtf,P21,ma-ma,1,914.4
ma-ma.08.rtf,P25,ma-ma,1,489.1
ma-ma.08.rtf,P27,ma-ma,1,210.1
ma-ma.08.rtf,P29,ma-ma,1,1007.5
ma-ma.08.rtf,P31,ma-ma,1,567.2
ma-ma.08.rtf,P33,ma-ma,1,577.1
ma-ma.08.rtf,P35,ma-ma,1,186.3
ma-ma.09.rtf,P07,ma-ma,1,0
ma-ma.08.rtf,P37,ma-ma,1,1042.1
ma-ma.08.rtf,P10,ma-ma,1,219.9
ma-ma.08.rtf,P11,ma-ma,1,948.7
ma-ma.08.rtf,P12,ma-ma,1,777.6
ma-ma.08.rtf,P16,ma-ma,1,827.3
ma-ma.08.rtf,P17,ma-ma,1,107.6
ma-ma.08.rtf,P18,ma-ma,1,674.8
ma-ma.08.rtf,P20,ma-ma,1,817
ma-ma.08.rtf,P22,ma-ma,1,362.4
ma-ma.08.rtf,P24,ma-ma,1,799.2
ma-ma.08.rtf,P26,ma-ma,1,467.9
ma-ma.08.rtf,P30,ma-ma,1,949.9
ma-ma.08.rtf,P32,ma-ma,1,812.7
ma-ma.08.rtf,P34,ma-ma,1,166.4
ma-ma.08.rtf,P36,ma-ma,1,190.7
ma-ma.10.rtf,P12,ma-ma,1,0
ma-ma.09.rtf,P02,ma-ma,1,210.1
ma-ma.09.rtf,P03,ma-ma,1,200.6
ma-ma.09.rtf,P04,ma-ma,1,822
ma-ma.09.rtf,P05,ma-ma,1,540.8
ma-ma.09.rtf,P08,ma-ma,1,229.8
ma-ma.09.rtf,P09,ma-ma,1,845.8
ma-ma.09.rtf,P19,ma-ma,1,728.6
ma-ma.09.rtf,P21,ma-ma,1,992.6
ma-ma.09.rtf,P23,ma-ma,1,941.4
ma-ma.09.rtf,P25,ma-ma,1,573.8
ma-ma.09.rtf,P27,ma-ma,1,312.9
ma-ma.09.rtf,P31,ma-ma,1,711.6
ma-ma.09.rtf,P33,ma-ma,1,518.3
ma-ma.09.rtf,P35,ma-ma,1,547.6
ma-ma.09.rtf,P37,ma-ma,1,978.1
ma-ma.10.rtf,P02,ma-ma,1,990.8
ma-ma.10.rtf,P03,ma-ma,1,156.3
ma-ma.10.rtf,P04,ma-ma,1,855.5
ma-ma.10.rtf,P05,ma-ma,1,298.3
ma-ma.10.rtf,P07,ma-ma,1,127.1
ma-ma.10.rtf,P08,ma-ma,1,571.4
ma-ma.10.rtf,P09,ma-ma,1,391.2
ma-ma.10.rtf,P19,ma-ma,1,640.7
ma-ma.10.rtf,P25,ma-ma,1,673.3
ma-ma.10.rtf,P27,ma-ma,1,904.9
ma-ma.10.rtf,P29,ma-ma,1,714
ma-ma.10.rtf,P31,ma-ma,1,1012.1
ma-ma.10.rtf,P33,ma-ma,1,264
ma-ma.10.rtf,P35,ma-ma,1,195.5
ma-ma.10.rtf,P10,ma-ma,1,137
ma-ma.10.rtf,P11,ma-ma,1,298.2
ma-ma.10.rtf,P13,ma-ma,1,670
ma-ma.10.rtf,P15,ma-ma,1,1139.6
ma-ma.10.rtf,P16,ma-ma,1,230.1
ma-ma.10.rtf,P18,ma-ma,1,136.8
ma-ma.10.rtf,P20,ma-ma,1,957.9
ma-ma.10.rtf,P22,ma-ma,1,553.8
ma-ma.10.rtf,P24,ma-ma,1,1102.2
ma-ma.10.rtf,P26,ma-ma,1,624.2
ma-ma.10.rtf,P28,ma-ma,1,1114.5
ma-ma.10.rtf,P17,ma-ma,1,68.5
ma-ma.10.rtf,P30,ma-ma,1,425.4
ma-ma.10.rtf,P34,ma-ma,1,151.6
ma-ma.10.rtf,P36,ma-ma,1,146.7
ma-ma.11.rtf,P01,ma-ma,1,624.3
ma-ma.11.rtf,P02,ma-ma,1,259.3
ma-ma.11.rtf,P04,ma-ma,1,219.9
ma-ma.11.rtf,P05,ma-ma,1,308
ma-ma.11.rtf,P07,ma-ma,1,591.8
ma-ma.11.rtf,P08,ma-ma,1,156.5
ma-ma.11.rtf,P09,ma-ma,1,459.6
ma-ma.11.rtf,P19,ma-ma,1,425.5
ma-ma.11.rtf,P21,ma-ma,1,806.6
ma-ma.11.rtf,P23,ma-ma,1,679.5
ma-ma.11.rtf,P25,ma-ma,1,161.1
ma-ma.11.rtf,P29,ma-ma,1,752.8
ma-ma.11.rtf,P31,ma-ma,1,816.6
ma-ma.11.rtf,P33,ma-ma,1,200.5
ma-ma.11.rtf,P35,ma-ma,1,610.9
ma-ma.11.rtf,P37,ma-ma,1,591.8
ma-ma.11.rtf,P10,ma-ma,1,185.8
ma-ma.11.rtf,P11,ma-ma,1,577.1
ma-ma.11.rtf,P12,ma-ma,1,787.4
ma-ma.11.rtf,P13,ma-ma,1,811.8
ma-ma.11.rtf,P16,ma-ma,1,396.2
ma-ma.11.rtf,P17,ma-ma,1,895
ma-ma.11.rtf,P18,ma-ma,1,1075.5
ma-ma.11.rtf,P20,ma-ma,1,635.6
ma-ma.11.rtf,P22,ma-ma,1,256.7
ma-ma.11.rtf,P24,ma-ma,1,553.8
ma-ma.11.rtf,P03,ma-ma,1,0
ma-ma.11.rtf,P26,ma-ma,1,790.9
ma-ma.12.rtf,P02,ma-ma,1,0
ma-ma.11.rtf,P28,ma-ma,1,469.5
ma-ma.11.rtf,P30,ma-ma,1,259.4
ma-ma.11.rtf,P34,ma-ma,1,161.4
ma-ma.11.rtf,P36,ma-ma,1,567.3
ma-ma.12.rtf,P01,ma-ma,1,699.5
ma-ma.12.rtf,P03,ma-ma,1,327.7
ma-ma.12.rtf,P04,ma-ma,1,322.8
ma-ma.12.rtf,P05,ma-ma,1,748.2
ma-ma.12.rtf,P06,ma-ma,1,640.9
ma-ma.12.rtf,P07,ma-ma,1,180.9
ma-ma.12.rtf,P08,ma-ma,1,748.4
ma-ma.12.rtf,P09,ma-ma,1,983
ma-ma.12.rtf,P36,ma-ma,1,0
ma-ma.12.rtf,P19,ma-ma,1,826.4
ma-ma.12.rtf,P25,ma-ma,1,724.9
ma-ma.12.rtf,P27,ma-ma,1,909.6
ma-ma.12.rtf,P31,ma-ma,1,641.2
ma-ma.12.rtf,P33,ma-ma,1,298.4
ma-ma.12.rtf,P35,ma-ma,1,483.7
ma-ma.12.rtf,P37,ma-ma,1,767.8
ma-ma.12.rtf,P10,ma-ma,1,582.3
ma-ma.12.rtf,P11,ma-ma,1,302.5
ma-ma.12.rtf,P13,ma-ma,1,861.8
ma-ma.12.rtf,P14,ma-ma,1,992.9
ma-ma.12.rtf,P16,ma-ma,1,298.3
ma-ma.12.rtf,P17,ma-ma,1,127.1
ma-ma.12.rtf,P20,ma-ma,1,356.9
ma-ma.12.rtf,P22,ma-ma,1,584.8
ma-ma.12.rtf,P24,ma-ma,1,1056.9
ma-nma.03.rtf,P07,ma-nma,1,73.3
ma-ma.12.rtf,P26,ma-ma,1,756.2
ma-ma.12.rtf,P28,ma-ma,1,557.5
ma-ma.12.rtf,P30,ma-ma,1,679.4
ma-nma.04.rtf,P02,ma-nma,1,0
ma-ma.12.rtf,P32,ma-ma,1,1086.3
ma-ma.12.rtf,P34,ma-ma,1,97.8
ma-nma.01.rtf,P02,ma-nma,1,968.2
ma-nma.01.rtf,P03,ma-nma,1,273.9
ma-nma.01.rtf,P04,ma-nma,1,308.1
ma-nma.01.rtf,P05,ma-nma,1,498.7
ma-nma.01.rtf,P07,ma-nma,1,415.6
ma-nma.01.rtf,P08,ma-nma,1,352.5
ma-nma.01.rtf,P09,ma-nma,1,553
ma-nma.01.rtf,P19,ma-nma,1,748.3
ma-nma.01.rtf,P21,ma-nma,1,562.3
ma-nma.01.rtf,P23,ma-nma,1,684.6
ma-nma.01.rtf,P25,ma-nma,1,244
ma-nma.01.rtf,P27,ma-nma,1,396.2
ma-nma.01.rtf,P29,ma-nma,1,890
ma-nma.04.rtf,P03,ma-nma,1,0
ma-nma.01.rtf,P31,ma-nma,1,734.2
ma-nma.04.rtf,P17,ma-nma,1,0
ma-nma.01.rtf,P33,ma-nma,1,395.9
ma-nma.01.rtf,P35,ma-nma,1,474.4
ma-nma.01.rtf,P37,ma-nma,1,601.6
ma-nma.01.rtf,P10,ma-nma,1,322.8
ma-nma.01.rtf,P11,ma-nma,1,391.2
ma-nma.01.rtf,P12,ma-nma,1,992.6
ma-nma.01.rtf,P13,ma-nma,1,1134.9
ma-nma.01.rtf,P14,ma-nma,1,675.1
ma-nma.01.rtf,P15,ma-nma,1,592.5
ma-nma.01.rtf,P16,ma-nma,1,249.4
ma-nma.01.rtf,P17,ma-nma,1,200.7
ma-nma.01.rtf,P18,ma-nma,1,249.3
ma-nma.05.rtf,P03,ma-nma,1,63.6
ma-nma.01.rtf,P20,ma-nma,1,1006.7
ma-nma.01.rtf,P22,ma-nma,1,216.3
ma-nma.01.rtf,P24,ma-nma,1,654.4
ma-nma.01.rtf,P26,ma-nma,1,639.6
ma-nma.01.rtf,P28,ma-nma,1,397.7
ma-nma.01.rtf,P30,ma-nma,1,312.9
ma-nma.01.rtf,P32,ma-nma,1,245.2
ma-nma.01.rtf,P34,ma-nma,1,176
ma-nma.01.rtf,P36,ma-nma,1,127.2
ma-nma.02.rtf,P01,ma-nma,1,634.3
ma-nma.02.rtf,P02,ma-nma,1,190.8
ma-nma.02.rtf,P03,ma-nma,1,366.4
ma-nma.02.rtf,P04,ma-nma,1,753.3
ma-nma.02.rtf,P05,ma-nma,1,435.3
ma-nma.02.rtf,P06,ma-nma,1,283.8
ma-nma.02.rtf,P07,ma-nma,1,102.7
ma-nma.02.rtf,P08,ma-nma,1,337.3
ma-nma.02.rtf,P09,ma-nma,1,136.9
ma-nma.02.rtf,P19,ma-nma,1,297.5
ma-nma.02.rtf,P21,ma-nma,1,366.7
ma-nma.02.rtf,P23,ma-nma,1,689.7
ma-nma.02.rtf,P25,ma-nma,1,130.9
ma-nma.02.rtf,P27,ma-nma,1,934
ma-nma.02.rtf,P29,ma-nma,1,914.1
ma-nma.02.rtf,P31,ma-nma,1,234.9
ma-nma.02.rtf,P33,ma-nma,1,303.3
ma-nma.02.rtf,P35,ma-nma,1,420.5
ma-nma.02.rtf,P37,ma-nma,1,943.9
ma-nma.02.rtf,P10,ma-nma,1,376.7
ma-nma.02.rtf,P11,ma-nma,1,273.9
ma-nma.02.rtf,P12,ma-nma,1,831.4
ma-nma.02.rtf,P13,ma-nma,1,714.1
ma-nma.02.rtf,P14,ma-nma,1,763
ma-nma.02.rtf,P16,ma-nma,1,229.9
ma-nma.02.rtf,P17,ma-nma,1,396.1
ma-nma.02.rtf,P18,ma-nma,1,386.2
ma-nma.02.rtf,P22,ma-nma,1,286.9
ma-nma.02.rtf,P24,ma-nma,1,916
ma-nma.02.rtf,P26,ma-nma,1,804.7
ma-nma.02.rtf,P30,ma-nma,1,449.9
ma-nma.02.rtf,P32,ma-nma,1,1036.7
ma-nma.02.rtf,P34,ma-nma,1,146.7
ma-nma.02.rtf,P36,ma-nma,1,171.2
ma-nma.03.rtf,P01,ma-nma,1,841.5
ma-nma.03.rtf,P02,ma-nma,1,405.7
ma-nma.03.rtf,P03,ma-nma,1,630.6
ma-nma.03.rtf,P04,ma-nma,1,401.1
ma-nma.03.rtf,P05,ma-nma,1,479.3
ma-nma.03.rtf,P08,ma-nma,1,509.9
ma-nma.03.rtf,P09,ma-nma,1,498.7
ma-nma.03.rtf,P19,ma-nma,1,635.8
ma-nma.03.rtf,P21,ma-nma,1,767.6
ma-nma.03.rtf,P23,ma-nma,1,810.5
ma-nma.03.rtf,P25,ma-nma,1,136
ma-nma.05.rtf,P18,ma-nma,1,0
ma-nma.03.rtf,P27,ma-nma,1,381.5
ma-nma.03.rtf,P31,ma-nma,1,161.3
ma-nma.03.rtf,P33,ma-nma,1,396
ma-nma.03.rtf,P35,ma-nma,1,694.2
ma-nma.03.rtf,P37,ma-nma,1,498.7
ma-nma.03.rtf,P10,ma-nma,1,200.5
ma-nma.03.rtf,P11,ma-nma,1,469.4
ma-nma.03.rtf,P13,ma-nma,1,899.8
ma-nma.03.rtf,P15,ma-nma,1,899.7
ma-nma.03.rtf,P16,ma-nma,1,321.7
ma-nma.03.rtf,P17,ma-nma,1,122.2
ma-nma.03.rtf,P18,ma-nma,1,283.7
ma-nma.03.rtf,P20,ma-nma,1,889.1
ma-nma.06.rtf,P04,ma-nma,1,0
ma-nma.03.rtf,P22,ma-nma,1,342.4
ma-nma.03.rtf,P24,ma-nma,1,503.1
ma-nma.03.rtf,P26,ma-nma,1,573.7
ma-nma.03.rtf,P30,ma-nma,1,797.2
ma-nma.03.rtf,P34,ma-nma,1,146.8
ma-nma.03.rtf,P36,ma-nma,1,156.6
ma-nma.04.rtf,P01,ma-nma,1,875.9
ma-nma.04.rtf,P04,ma-nma,1,430.4
ma-nma.04.rtf,P05,ma-nma,1,523.5
ma-nma.04.rtf,P07,ma-nma,1,850.3
ma-nma.04.rtf,P08,ma-nma,1,875.4
ma-nma.04.rtf,P09,ma-nma,1,430.3
ma-nma.04.rtf,P21,ma-nma,1,796.9
ma-nma.04.rtf,P23,ma-nma,1,956.5
ma-nma.04.rtf,P25,ma-nma,1,347.3
ma-nma.06.rtf,P36,ma-nma,1,0
ma-nma.04.rtf,P27,ma-nma,1,371.8
ma-nma.04.rtf,P29,ma-nma,1,821.4
ma-nma.04.rtf,P31,ma-nma,1,420.8
ma-nma.04.rtf,P33,ma-nma,1,474.3
ma-nma.04.rtf,P35,ma-nma,1,719
ma-nma.04.rtf,P37,ma-nma,1,860.8
ma-nma.04.rtf,P10,ma-nma,1,190.7
ma-nma.04.rtf,P11,ma-nma,1,635.7
ma-nma.04.rtf,P12,ma-nma,1,719
ma-nma.04.rtf,P16,ma-nma,1,572.1
ma-nma.04.rtf,P18,ma-nma,1,454.9
ma-nma.04.rtf,P20,ma-nma,1,708.7
ma-nma.04.rtf,P22,ma-nma,1,347.4
ma-nma.04.rtf,P24,ma-nma,1,945.9
ma-nma.04.rtf,P28,ma-nma,1,422.1
ma-nma.04.rtf,P30,ma-nma,1,664.9
ma-nma.04.rtf,P32,ma-nma,1,1026.9
ma-nma.04.rtf,P34,ma-nma,1,283.8
ma-nma.04.rtf,P36,ma-nma,1,127.1
ma-nma.05.rtf,P01,ma-nma,1,986.6
ma-nma.05.rtf,P02,ma-nma,1,254.3
ma-nma.05.rtf,P04,ma-nma,1,264.1
ma-nma.05.rtf,P05,ma-nma,1,219.8
ma-nma.05.rtf,P06,ma-nma,1,997.7
ma-nma.05.rtf,P08,ma-nma,1,772.8
ma-nma.05.rtf,P09,ma-nma,1,200.5
ma-nma.05.rtf,P19,ma-nma,1,616.7
ma-nma.05.rtf,P21,ma-nma,1,537.2
ma-nma.05.rtf,P23,ma-nma,1,684.6
ma-nma.05.rtf,P25,ma-nma,1,347.3
ma-nma.05.rtf,P31,ma-nma,1,621.1
ma-nma.05.rtf,P33,ma-nma,1,430.4
ma-nma.05.rtf,P35,ma-nma,1,591.8
ma-nma.05.rtf,P37,ma-nma,1,577.1
ma-nma.05.rtf,P10,ma-nma,1,239.6
ma-nma.05.rtf,P11,ma-nma,1,283.5
ma-nma.05.rtf,P12,ma-nma,1,430.3
ma-nma.05.rtf,P13,ma-nma,1,410.8
ma-nma.05.rtf,P15,ma-nma,1,435.3
ma-nma.05.rtf,P16,ma-nma,1,249.2
ma-nma.05.rtf,P17,ma-nma,1,146.7
ma-nma.05.rtf,P20,ma-nma,1,767.6
ma-nma.05.rtf,P22,ma-nma,1,417.8
ma-nma.05.rtf,P24,ma-nma,1,136
